timestamp,device,rodada,id,tempInterna,tempExterna,umidade,luz,criticidade,distancia,tempoForaDaFaixa,situacao
2026-08-24 18:00:00+00:00,ESP32Noris001Vaccine,1,0,2.5,25.0,72.1,68,43,16.9,0,TRANSPORTE_OK
2026-08-24 18:00:01+00:00,ESP32Noris001Vaccine,1,1,2.75,24.8,77.0,64,41,17.2,0,TRANSPORTE_OK
2026-08-24 18:00:02+00:00,ESP32Noris001Vaccine,1,2,2.75,24.4,76.9,51,45,15.5,0,TRANSPORTE_OK
2026-08-24 18:00:03+00:00,ESP32Noris001Vaccine,1,3,3.25,25.1,71.1,67,42,16.0,0,TRANSPORTE_OK
2026-08-24 18:00:04+00:00,ESP32Noris001Vaccine,1,4,3.25,25.1,73.7,61,40,15.9,0,TRANSPORTE_OK
2026-08-24 18:00:05+00:00,ESP32Noris001Vaccine,1,5,3.25,24.9,72.4,47,41,15.5,0,TRANSPORTE_OK
2026-08-24 18:00:06+00:00,ESP32Noris001Vaccine,1,6,3.5,24.6,77.4,53,41,14.1,0,TRANSPORTE_OK
2026-08-24 18:00:07+00:00,ESP32Noris001Vaccine,1,7,3.5,24.9,69.6,45,43,13.9,0,TRANSPORTE_OK
2026-08-24 18:00:08+00:00,ESP32Noris001Vaccine,1,8,4.0,25.3,75.0,36,39,13.8,0,TRANSPORTE_OK
2026-08-24 18:00:09+00:00,ESP32Noris001Vaccine,1,9,4.0,25.6,70.2,41,42,12.9,0,TRANSPORTE_OK
2026-08-24 18:00:10+00:00,ESP32Noris001Vaccine,1,10,4.0,24.9,69.4,45,42,12.5,0,TRANSPORTE_OK
2026-08-24 18:00:11+00:00,ESP32Noris001Vaccine,1,11,4.25,25.5,74.6,51,41,10.6,0,TRANSPORTE_OK
2026-08-24 18:00:12+00:00,ESP32Noris001Vaccine,1,12,4.5,25.2,70.6,35,41,11.5,0,TRANSPORTE_OK
2026-08-24 18:00:13+00:00,ESP32Noris001Vaccine,1,13,4.5,24.9,73.1,49,40,13.9,0,TRANSPORTE_OK
2026-08-24 18:00:14+00:00,ESP32Noris001Vaccine,1,14,4.75,25.5,75.2,57,44,14.2,0,TRANSPORTE_OK
2026-08-24 18:00:15+00:00,ESP32Noris001Vaccine,1,15,5.0,25.4,71.8,64,41,13.7,0,TRANSPORTE_OK
