ts_epoch_ms,label,mean_ax,mean_ay,mean_az,std_ax,std_ay,std_az,rms_ax,rms_ay,rms_az,rms_mag
1749760000000,ligado_normal,0.027,-0.091,0.996,0.026,0.022,0.007,0.038,0.093,0.996,1.001
1749760001000,ligado_normal,-0.113,0.011,0.993,0.025,0.008,0.016,0.116,0.014,0.994,1.0
1749760002000,ligado_normal,0.077,0.068,0.995,0.021,0.026,0.016,0.08,0.072,0.995,1.001
1749760003000,ligado_normal,-0.075,0.032,0.997,0.007,0.026,0.021,0.075,0.041,0.997,1.001
1749760004000,ligado_normal,-0.016,-0.059,0.998,0.029,0.027,0.024,0.033,0.065,0.998,1.001
1749760005000,ligado_normal,-0.031,0.046,0.998,0.006,0.009,0.022,0.031,0.047,0.999,1.0
1749760006000,ligado_normal,0.186,-0.035,0.982,0.013,0.014,0.017,0.186,0.038,0.982,1.0
1749760007000,ligado_normal,0.098,-0.01,0.995,0.017,0.011,0.022,0.1,0.015,0.995,1.0
1749760008000,ligado_normal,0.065,0.047,0.997,0.026,0.025,0.015,0.07,0.054,0.997,1.001
1749760009000,ligado_normal,0.019,0.076,0.997,0.008,0.01,0.005,0.021,0.077,0.997,1.0
1749760010000,ligado_normal,0.025,0.055,0.998,0.023,0.025,0.016,0.034,0.06,0.998,1.001
1749760011000,ligado_normal,-0.056,-0.024,0.998,0.008,0.022,0.017,0.056,0.032,0.998,1.0
1749760012000,ligado_normal,-0.146,-0.029,0.989,0.021,0.019,0.019,0.148,0.035,0.989,1.001
1749760013000,ligado_normal,0.069,-0.03,0.997,0.016,0.01,0.015,0.071,0.032,0.997,1.0
1749760014000,ligado_normal,-0.111,-0.099,0.989,0.006,0.012,0.012,0.111,0.099,0.989,1.0
1749760015000,ligado_normal,0.06,-0.037,0.997,0.025,0.022,0.015,0.065,0.043,0.998,1.001
1749760016000,ligado_normal,0.04,-0.058,0.998,0.006,0.007,0.023,0.04,0.058,0.998,1.0
1749760017000,ligado_normal,0.042,-0.041,0.998,0.018,0.009,0.022,0.046,0.042,0.999,1.0
1749760018000,ligado_normal,0.058,-0.009,0.998,0.013,0.021,0.014,0.059,0.022,0.998,1.0
1749760019000,ligado_normal,-0.126,-0.115,0.985,0.029,0.028,0.022,0.129,0.118,0.986,1.001
1749760020000,ligado_normal,-0.033,0.113,0.993,0.024,0.023,0.016,0.041,0.115,0.993,1.001
1749760021000,ligado_normal,-0.018,-0.083,0.996,0.028,0.016,0.01,0.033,0.084,0.996,1.001
1749760022000,ligado_normal,0.038,0.021,0.999,0.009,0.026,0.024,0.039,0.034,0.999,1.001
1749760023000,ligado_normal,-0.046,0.02,0.999,0.021,0.02,0.021,0.051,0.028,0.999,1.001
1749760024000,ligado_normal,-0.089,0.016,0.996,0.006,0.017,0.013,0.089,0.023,0.996,1.0
1749760025000,ligado_normal,0.031,0.127,0.991,0.02,0.009,0.028,0.037,0.128,0.992,1.001
1749760026000,ligado_normal,-0.034,-0.12,0.992,0.02,0.006,0.029,0.039,0.12,0.993,1.001
1749760027000,ligado_normal,-0.089,0.027,0.996,0.007,0.017,0.017,0.089,0.032,0.996,1.0
1749760028000,ligado_normal,0.036,-0.086,0.996,0.017,0.012,0.013,0.04,0.087,0.996,1.0
1749760029000,ligado_normal,-0.036,-0.053,0.998,0.006,0.026,0.027,0.037,0.059,0.998,1.001
1749760030000,ligado_normal,-0.014,-0.09,0.996,0.008,0.022,0.012,0.016,0.093,0.996,1.0
1749760031000,ligado_normal,0.024,0.154,0.988,0.024,0.008,0.028,0.034,0.154,0.988,1.001
1749760032000,ligado_normal,-0.103,-0.084,0.991,0.019,0.014,0.026,0.105,0.085,0.991,1.001
1749760033000,ligado_normal,0.073,-0.079,0.994,0.029,0.012,0.018,0.079,0.08,0.994,1.001
1749760034000,ligado_normal,-0.004,-0.057,0.998,0.009,0.006,0.016,0.01,0.057,0.998,1.0
1749760035000,ligado_normal,-0.111,0.015,0.994,0.024,0.027,0.027,0.114,0.031,0.994,1.001
1749760036000,ligado_normal,0.025,0.114,0.993,0.024,0.022,0.014,0.035,0.116,0.993,1.001
1749760037000,ligado_normal,0.037,0.134,0.99,0.012,0.028,0.011,0.039,0.137,0.99,1.001
1749760038000,ligado_normal,0.144,0.15,0.978,0.009,0.009,0.02,0.144,0.15,0.979,1.001
1749760039000,ligado_normal,-0.096,-0.078,0.992,0.024,0.029,0.018,0.1,0.083,0.992,1.001
1749760040000,ligado_normal,-0.014,0.029,0.999,0.011,0.008,0.022,0.018,0.031,1.0,1.0
1749760041000,ligado_normal,-0.178,-0.004,0.984,0.022,0.02,0.01,0.179,0.02,0.984,1.0
1749760042000,ligado_normal,-0.029,0.08,0.996,0.023,0.008,0.008,0.037,0.08,0.996,1.0
1749760043000,ligado_normal,0.043,-0.042,0.998,0.013,0.017,0.022,0.044,0.046,0.998,1.0
1749760044000,ligado_normal,0.116,-0.013,0.993,0.028,0.006,0.019,0.12,0.015,0.993,1.001
1749760045000,ligado_normal,0.015,-0.094,0.995,0.009,0.015,0.029,0.018,0.096,0.996,1.001
1749760046000,ligado_normal,0.163,-0.074,0.984,0.025,0.017,0.025,0.165,0.076,0.984,1.001
1749760047000,ligado_normal,0.028,0.105,0.994,0.026,0.025,0.011,0.038,0.108,0.994,1.001
1749760048000,ligado_normal,-0.014,-0.093,0.996,0.027,0.02,0.015,0.03,0.095,0.996,1.001
1749760049000,ligado_normal,-0.076,-0.008,0.997,0.027,0.016,0.011,0.081,0.018,0.997,1.001
1749760050000,ligado_normal,-0.112,-0.096,0.989,0.025,0.008,0.007,0.115,0.096,0.989,1.0
1749760051000,ligado_normal,-0.032,0.03,0.999,0.026,0.013,0.009,0.041,0.032,0.999,1.0
1749760052000,ligado_normal,0.068,0.038,0.997,0.012,0.009,0.008,0.069,0.039,0.997,1.0
1749760053000,ligado_normal,-0.021,-0.023,1.0,0.009,0.006,0.02,0.023,0.024,1.0,1.0
1749760054000,ligado_normal,0.088,0.014,0.996,0.013,0.018,0.027,0.089,0.022,0.996,1.001
1749760055000,ligado_normal,-0.063,0.028,0.998,0.01,0.011,0.011,0.064,0.03,0.998,1.0
1749760056000,ligado_normal,0.137,0.034,0.99,0.006,0.014,0.018,0.137,0.037,0.99,1.0
1749760057000,ligado_normal,-0.097,0.104,0.99,0.006,0.028,0.007,0.097,0.108,0.99,1.0
1749760058000,ligado_normal,0.081,0.04,0.996,0.029,0.025,0.024,0.086,0.047,0.996,1.001
1749760059000,ligado_normal,0.005,-0.025,1.0,0.008,0.018,0.018,0.01,0.031,1.0,1.0
1749760060000,ligado_normal,0.128,-0.222,0.967,0.015,0.021,0.012,0.129,0.223,0.967,1.001
1749760061000,ligado_normal,-0.032,-0.153,0.988,0.015,0.011,0.014,0.036,0.153,0.988,1.0
1749760062000,ligado_normal,0.075,-0.029,0.997,0.014,0.022,0.012,0.077,0.036,0.997,1.0
1749760063000,ligado_normal,0.113,0.051,0.992,0.017,0.013,0.018,0.114,0.053,0.992,1.0
1749760064000,ligado_normal,0.152,0.038,0.988,0.025,0.018,0.021,0.154,0.042,0.988,1.001
1749760065000,ligado_normal,-0.061,0.086,0.994,0.01,0.022,0.027,0.062,0.089,0.995,1.001
1749760066000,ligado_normal,0.006,0.102,0.995,0.007,0.023,0.007,0.01,0.105,0.995,1.0
1749760067000,ligado_normal,-0.137,-0.006,0.991,0.029,0.025,0.02,0.14,0.026,0.991,1.001
1749760068000,ligado_normal,0.056,-0.061,0.997,0.029,0.011,0.02,0.063,0.062,0.997,1.001
1749760069000,ligado_normal,-0.059,0.027,0.998,0.019,0.019,0.017,0.062,0.033,0.998,1.001
