ts_epoch_ms,label,rodada,janela,mean_ax,mean_ay,mean_az,std_ax,std_ay,std_az,std_mag,p2p_mag
1749760000000,operando,1,1,0.021,-0.073,0.997,0.09,0.079,0.037,0.037,0.203
1749760001000,operando,1,2,0.009,-0.022,1.0,0.039,0.062,0.056,0.056,0.304
1749760002000,operando,1,3,0.005,0.079,0.997,0.061,0.046,0.069,0.069,0.314
1749760003000,operando,1,4,0.061,-0.003,0.998,0.083,0.055,0.098,0.098,0.528
1749760004000,operando,1,5,-0.03,-0.025,0.999,0.063,0.033,0.041,0.041,0.212
1749760005000,operando,1,6,0.149,-0.028,0.988,0.053,0.056,0.063,0.063,0.294
1749760006000,operando,1,7,-0.008,-0.059,0.998,0.046,0.077,0.061,0.061,0.323
1749760007000,operando,1,8,-0.082,0.038,0.996,0.088,0.086,0.057,0.057,0.275
1749760008000,operando,1,9,0.061,0.016,0.998,0.044,0.031,0.085,0.085,0.439
1749760009000,operando,1,10,-0.102,-0.022,0.995,0.062,0.07,0.04,0.04,0.185
1749760010000,operando,1,11,-0.06,0.068,0.996,0.07,0.084,0.074,0.074,0.376
1749760011000,operando,1,12,0.05,0.055,0.997,0.032,0.061,0.045,0.045,0.221
1749760012000,operando,1,13,-0.089,-0.079,0.993,0.034,0.05,0.051,0.05,0.26
1749760013000,operando,1,14,-0.03,0.011,0.999,0.077,0.058,0.087,0.087,0.406
1749760014000,operando,1,15,-0.025,-0.027,0.999,0.081,0.062,0.041,0.041,0.207
1749760015000,operando,1,16,0.034,0.031,0.999,0.061,0.057,0.051,0.051,0.262
1749760016000,operando,1,17,-0.118,-0.101,0.988,0.038,0.097,0.094,0.093,0.484
1749760017000,operando,1,18,-0.026,0.091,0.996,0.085,0.08,0.061,0.062,0.294
1749760018000,operando,1,19,-0.066,-0.024,0.998,0.062,0.044,0.051,0.051,0.261
1749760019000,operando,1,20,-0.041,-0.101,0.994,0.083,0.08,0.06,0.061,0.31
1749760020000,operando,1,21,0.112,-0.017,0.994,0.036,0.059,0.033,0.033,0.165
1749760021000,operando,1,22,0.058,0.025,0.998,0.037,0.071,0.042,0.042,0.228
1749760022000,operando,1,23,-0.027,-0.096,0.995,0.071,0.032,0.097,0.097,0.482
1749760023000,operando,1,24,0.022,0.058,0.998,0.064,0.064,0.096,0.096,0.485
1749760024000,operando,1,25,-0.148,0.019,0.989,0.053,0.066,0.061,0.061,0.274
1749760025000,operando,1,26,0.074,0.011,0.997,0.04,0.069,0.038,0.038,0.195
1749760026000,operando,1,27,-0.004,0.123,0.992,0.084,0.038,0.094,0.094,0.442
1749760027000,operando,1,28,-0.067,-0.051,0.996,0.056,0.088,0.087,0.086,0.417
1749760028000,operando,1,29,0.065,0.027,0.998,0.066,0.048,0.096,0.095,0.445
1749760029000,operando,1,30,-0.032,-0.085,0.996,0.099,0.092,0.082,0.082,0.445
1749760030000,inclinado_frente,1,1,0.415,0.02,0.91,0.052,0.084,0.076,0.073,0.354
1749760031000,inclinado_frente,1,2,0.45,0.107,0.888,0.048,0.096,0.047,0.048,0.222
1749760032000,inclinado_frente,1,3,0.528,-0.013,0.849,0.043,0.072,0.091,0.081,0.379
1749760033000,inclinado_frente,1,4,0.365,0.045,0.93,0.098,0.065,0.04,0.052,0.234
1749760034000,inclinado_frente,1,5,0.509,0.006,0.86,0.077,0.039,0.065,0.069,0.357
1749760035000,inclinado_frente,1,6,0.344,-0.061,0.937,0.086,0.08,0.082,0.082,0.381
1749760036000,inclinado_frente,1,7,0.392,-0.023,0.92,0.064,0.076,0.097,0.093,0.443
1749760037000,inclinado_frente,1,8,0.378,-0.016,0.926,0.069,0.074,0.037,0.043,0.201
1749760038000,inclinado_frente,1,9,0.437,0.175,0.886,0.072,0.095,0.086,0.084,0.417
1749760039000,inclinado_frente,1,10,0.385,0.022,0.923,0.038,0.088,0.086,0.08,0.381
1749760040000,inclinado_frente,1,11,0.412,-0.074,0.909,0.091,0.072,0.059,0.065,0.319
1749760041000,inclinado_frente,1,12,0.492,-0.007,0.87,0.091,0.062,0.047,0.061,0.288
1749760042000,inclinado_frente,1,13,0.352,0.128,0.928,0.037,0.035,0.072,0.068,0.315
1749760043000,inclinado_frente,1,14,0.529,-0.069,0.847,0.04,0.094,0.042,0.042,0.199
1749760044000,inclinado_frente,1,15,0.414,-0.096,0.906,0.031,0.034,0.042,0.041,0.184
1749760045000,inclinado_frente,1,16,0.452,0.071,0.89,0.058,0.052,0.065,0.064,0.343
1749760046000,inclinado_frente,1,17,0.376,0.022,0.926,0.043,0.047,0.047,0.047,0.237
1749760047000,inclinado_frente,1,18,0.447,-0.053,0.893,0.056,0.067,0.037,0.042,0.223
1749760048000,inclinado_frente,1,19,0.439,0.034,0.898,0.037,0.089,0.093,0.085,0.467
1749760049000,inclinado_frente,1,20,0.393,0.018,0.92,0.075,0.085,0.039,0.047,0.235
1749760050000,inclinado_frente,1,21,0.432,0.103,0.897,0.062,0.057,0.075,0.072,0.345
1749760051000,inclinado_frente,1,22,0.399,-0.122,0.91,0.059,0.046,0.056,0.056,0.273
1749760052000,inclinado_frente,1,23,0.402,-0.004,0.916,0.078,0.051,0.096,0.094,0.507
1749760053000,inclinado_frente,1,24,0.529,0.082,0.846,0.067,0.089,0.076,0.074,0.39
1749760054000,inclinado_frente,1,25,0.404,0.005,0.915,0.05,0.081,0.044,0.045,0.235
1749760055000,inclinado_frente,1,26,0.411,0.082,0.909,0.037,0.081,0.036,0.037,0.199
1749760056000,inclinado_frente,1,27,0.418,-0.082,0.905,0.086,0.072,0.085,0.085,0.45
1749760057000,inclinado_frente,1,28,0.357,0.002,0.934,0.071,0.037,0.073,0.073,0.341
1749760058000,inclinado_frente,1,29,0.494,0.042,0.869,0.063,0.067,0.083,0.079,0.418
1749760059000,inclinado_frente,1,30,0.522,-0.144,0.844,0.095,0.038,0.038,0.059,0.272
1749760060000,inclinado_tras,1,1,-0.399,0.059,0.915,0.084,0.077,0.053,0.059,0.321
1749760061000,inclinado_tras,1,2,-0.408,0.019,0.913,0.055,0.052,0.041,0.044,0.203
1749760062000,inclinado_tras,1,3,-0.358,-0.074,0.931,0.057,0.081,0.069,0.067,0.366
1749760063000,inclinado_tras,1,4,-0.41,0.059,0.911,0.056,0.099,0.08,0.077,0.419
1749760064000,inclinado_tras,1,5,-0.387,0.162,0.91,0.075,0.039,0.071,0.071,0.368
1749760065000,inclinado_tras,1,6,-0.416,0.091,0.906,0.088,0.051,0.062,0.067,0.332
1749760066000,inclinado_tras,1,7,-0.395,0.037,0.918,0.085,0.038,0.1,0.098,0.525
1749760067000,inclinado_tras,1,8,-0.452,0.032,0.891,0.037,0.1,0.077,0.07,0.363
1749760068000,inclinado_tras,1,9,-0.374,0.016,0.927,0.032,0.047,0.04,0.039,0.206
1749760069000,inclinado_tras,1,10,-0.37,-0.027,0.929,0.076,0.033,0.03,0.04,0.181
1749760070000,inclinado_tras,1,11,-0.544,-0.09,0.836,0.047,0.089,0.034,0.039,0.206
1749760071000,inclinado_tras,1,12,-0.441,0.014,0.898,0.079,0.089,0.033,0.046,0.214
1749760072000,inclinado_tras,1,13,-0.335,0.006,0.942,0.09,0.041,0.081,0.082,0.387
1749760073000,inclinado_tras,1,14,-0.445,0.056,0.894,0.099,0.073,0.034,0.053,0.273
1749760074000,inclinado_tras,1,15,-0.392,-0.009,0.92,0.08,0.042,0.036,0.046,0.215
1749760075000,inclinado_tras,1,16,-0.489,-0.046,0.871,0.085,0.075,0.07,0.074,0.343
1749760076000,inclinado_tras,1,17,-0.337,-0.024,0.941,0.07,0.079,0.075,0.075,0.407
1749760077000,inclinado_tras,1,18,-0.398,-0.009,0.917,0.058,0.063,0.038,0.042,0.195
1749760078000,inclinado_tras,1,19,-0.412,0.075,0.908,0.06,0.073,0.074,0.072,0.354
1749760079000,inclinado_tras,1,20,-0.475,-0.111,0.875,0.071,0.052,0.033,0.044,0.219
1749760080000,inclinado_tras,1,21,-0.297,0.077,0.952,0.07,0.07,0.079,0.078,0.403
1749760081000,inclinado_tras,1,22,-0.411,0.043,0.911,0.085,0.068,0.06,0.065,0.334
1749760082000,inclinado_tras,1,23,-0.252,0.016,0.968,0.082,0.092,0.094,0.094,0.469
1749760083000,inclinado_tras,1,24,-0.433,-0.054,0.9,0.052,0.089,0.065,0.063,0.289
1749760084000,inclinado_tras,1,25,-0.38,0.076,0.922,0.034,0.05,0.053,0.051,0.238
1749760085000,inclinado_tras,1,26,-0.363,-0.128,0.924,0.031,0.088,0.09,0.085,0.412
1749760086000,inclinado_tras,1,27,-0.365,-0.05,0.93,0.038,0.056,0.097,0.091,0.502
1749760087000,inclinado_tras,1,28,-0.395,-0.039,0.918,0.078,0.079,0.057,0.061,0.313
1749760088000,inclinado_tras,1,29,-0.428,0.055,0.902,0.067,0.041,0.042,0.047,0.252
1749760089000,inclinado_tras,1,30,-0.317,-0.068,0.946,0.089,0.099,0.04,0.048,0.235
1749760090000,anomalia,1,1,-0.031,0.101,0.994,0.678,0.517,0.535,0.535,3.449
1749760091000,anomalia,1,2,-0.066,-0.031,0.997,0.322,0.416,0.446,0.446,3.328
1749760092000,anomalia,1,3,0.08,-0.166,0.983,0.342,0.422,0.722,0.713,5.645
1749760093000,anomalia,1,4,-0.013,-0.018,1.0,0.681,0.329,0.483,0.483,3.682
1749760094000,anomalia,1,5,0.046,0.027,0.999,0.541,0.684,0.726,0.726,5.453
1749760095000,anomalia,1,6,-0.021,-0.053,0.998,0.725,0.47,0.549,0.549,4.172
1749760096000,anomalia,1,7,-0.062,-0.005,0.998,0.759,0.615,0.389,0.391,2.742
1749760097000,anomalia,1,8,0.052,-0.011,0.999,0.764,0.524,0.454,0.455,3.546
1749760098000,anomalia,1,9,-0.005,0.018,1.0,0.652,0.617,0.791,0.791,6.217
1749760099000,anomalia,1,10,0.087,-0.018,0.996,0.752,0.66,0.782,0.781,6.521
1749760100000,anomalia,1,11,-0.075,0.05,0.996,0.666,0.52,0.577,0.577,4.594
1749760101000,anomalia,1,12,0.112,-0.085,0.99,0.444,0.667,0.675,0.673,4.734
1749760102000,anomalia,1,13,-0.115,-0.089,0.989,0.689,0.545,0.793,0.79,5.841
1749760103000,anomalia,1,14,-0.124,0.036,0.992,0.697,0.342,0.578,0.579,4.871
1749760104000,anomalia,1,15,0.038,0.053,0.998,0.318,0.486,0.324,0.325,2.056
1749760105000,anomalia,1,16,0.016,-0.099,0.995,0.687,0.733,0.67,0.67,5.633
1749760106000,anomalia,1,17,0.017,-0.043,0.999,0.611,0.729,0.302,0.304,2.291
1749760107000,anomalia,1,18,-0.043,0.033,0.999,0.501,0.748,0.636,0.636,4.268
1749760108000,anomalia,1,19,-0.168,0.112,0.98,0.727,0.449,0.595,0.598,4.298
1749760109000,anomalia,1,20,-0.02,-0.013,1.0,0.394,0.342,0.471,0.471,3.839
1749760110000,anomalia,1,21,0.049,0.143,0.989,0.448,0.504,0.368,0.372,2.873
1749760111000,anomalia,1,22,-0.121,0.011,0.993,0.758,0.548,0.367,0.376,2.667
1749760112000,anomalia,1,23,-0.077,0.041,0.996,0.309,0.527,0.617,0.616,4.329
1749760113000,anomalia,1,24,-0.023,-0.118,0.993,0.676,0.57,0.442,0.444,3.863
1749760114000,anomalia,1,25,-0.119,-0.113,0.987,0.755,0.565,0.671,0.671,5.216
1749760115000,anomalia,1,26,0.019,-0.05,0.999,0.421,0.461,0.378,0.378,3.259
1749760116000,anomalia,1,27,0.027,0.029,0.999,0.696,0.692,0.519,0.52,3.859
1749760117000,anomalia,1,28,0.087,-0.036,0.996,0.707,0.751,0.694,0.694,4.549
1749760118000,anomalia,1,29,0.055,0.104,0.993,0.626,0.778,0.556,0.559,4.084
1749760119000,anomalia,1,30,0.066,-0.157,0.985,0.352,0.321,0.423,0.421,2.606
1749760120000,operando,2,1,-0.064,-0.014,0.998,0.052,0.034,0.038,0.038,0.185
1749760121000,operando,2,2,0.073,-0.068,0.995,0.044,0.051,0.058,0.057,0.283
1749760122000,operando,2,3,-0.001,0.049,0.999,0.09,0.03,0.066,0.066,0.327
1749760123000,operando,2,4,-0.109,0.048,0.993,0.085,0.089,0.048,0.049,0.236
1749760124000,operando,2,5,-0.159,-0.104,0.982,0.078,0.046,0.053,0.054,0.292
1749760125000,operando,2,6,-0.08,-0.078,0.994,0.08,0.041,0.033,0.034,0.157
1749760126000,operando,2,7,0.019,0.011,1.0,0.043,0.032,0.038,0.038,0.193
1749760127000,operando,2,8,0.07,0.083,0.994,0.071,0.089,0.03,0.031,0.168
1749760128000,operando,2,9,0.125,0.036,0.991,0.084,0.09,0.048,0.049,0.264
1749760129000,operando,2,10,-0.071,0.143,0.987,0.099,0.055,0.087,0.086,0.417
1749760130000,operando,2,11,0.045,0.031,0.999,0.045,0.059,0.052,0.052,0.239
1749760131000,operando,2,12,0.024,-0.124,0.992,0.031,0.042,0.081,0.08,0.418
